genres,key
australian pop,0
italian progressive metal,0
slamming deathcore,0
italian soprano,0
classic tunisian pop,0
uplifting trance,0
footwork,0
j-acoustic,0
j-ambient,0
classic opm,0
socal pop punk,0
kolsche karneval,0
ukrainian pop,0
musica de fondo,0
soul,0
histoire pour enfants,0
pittsburgh rock,0
classic afrobeat,0
christmas instrumental,0
klezmer,0
kizomba antigas,0
memphis soul,0
christian hardcore,0
uk garage,0
musica andina colombiana,0
christelijk,0
kindie rock,0
space ambient,0
khmer,0
music hall,0
italian power metal,0
hammond organ,0
musica para ninos,0
italian mezzo-soprano,0
melodic metal,0
irish singer-songwriter,0
salsa cubana,0
israeli classical,0
samba-enredo,0
sarod,0
coverchill,0
scottish fiddle,0
italian baritone,0
vgm instrumental,0
kundiman,0
australian classical piano,0
italian bass,0
veracruz indie,0
german show tunes,0
italian blues,0
seattle indie,0
folk punk,0
australian indie rock,0
folk-pop,0
glitch pop,0
theremin,0
contemporary folk,0
italian classical piano,0
australian reggae fusion,0
italian indie pop,0
comedy rock,0
australian trap,0
australian underground hip hop,0
hammered dulcimer,0
australian house,0
folclor colombiano,0
movie tunes,0
chilena,0
cambodian rock,0
persian traditional,0
cabaret,0
future garage,0
blackgaze,0
trap queen,0
blues,0
ottawa indie,0
gabonese pop,0
boogaloo,0
partyschlager,0
british industrial,0
british folk,0
british experimental,0
middle east hip hop,0
traditional ska,0
traditional blues,0
jazz trio,0
brisbane indie,0
mexican son,0
techno kayo,0
jazz trombone,0
boy band,0
harlem renaissance,0
texas blues,0
palestinian pop,0
georgian folk,0
michigan indie,0
brazilian punk,0
cambridgeshire indie,0
swiss country,0
minimalism,0
swedish rock-and-roll,0
motown,0
speed garage,0
children's choir,0
bc underground hip hop,0
uk alternative pop,0
ugandan pop,0
japanese experimental,0
charlotte nc indie,0
japanese girl punk,0
norwegian contemporary jazz,0
moldovan pop,0
pibroch,0
hawaiian indie,0
swamp pop,0
spanish pop,0
belgian hardcore,0
modern jazz trio,0
japanese pop punk,0
modern funk,0
japanese punk rock,0
german opera,0
turkish edm,0
japanese vocal jazz,0
funk 150 bpm,0
canadian pop,0
kashmiri pop,0
philly soul,0
tunisian pop,0
funk ostentacao,0
canadian house,0
caracas indie,0
rva indie,0
jordanian pop,0
dabke,0
american orchestra,0
lullaby,0
neoclassicism,0
rhode island rap,0
ok indie,0
psalmen,0
proto-techno,0
progressive trance,0
nz christian,0
anglican liturgy,0
deep progressive house,0
anime latino,0
african percussion,0
ecm-style jazz,0
industrial,0
antilliaanse folklore,0
deep flow,0
adult standards,0
latin soundtrack,0
finnish contemporary classical,0
psybass,0
afro-funk,0
new england americana,0
drill,0
ranchera,0
filthstep,0
disney,0
dunedin sound,0
dfw rap,0
indie cafe pop,0
reggae en espanol,0
musique pour enfants,0
ambient industrial,0
nz pop,0
impressionism,0
depressive black metal,0
dembow,0
mariachi,0
pop quebecois,0
afrobeat,0
renaissance,0
progressive alternative,0
latin pop,0
deep latin christian,0
russian ccm,0
pop house,0
hungarian rock,0
hungarian pop,0
english baroque,0
melbourne indie,0
latin arena pop,0
arab pop,0
russian edm,0
english renaissance,0
guinean pop,0
russian metal,0
vintage italian pop,0
russian metalcore,0
asbury park indie,0
nwothm,0
escape room,0
asheville indie,0
post-doom metal,0
russian modern classical,0
dallas indie,0
post-metal,0
flick hop,0
greek folk,0
instrumental funk,0
neo mellow,0
industrial rock,0
rock progressif francais,0
praise,0
maine hip hop,0
arabic hip hop,0
british classical piano,1
brostep,1
phonk,1
progressive metalcore,1
hyphy,1
queens hip hop,1
pop rap,1
funeral doom,1
bronx hip hop,1
filter house,1
environmental,1
modern indie pop,1
gainesville indie,1
rap,1
drone metal,1
rap cristiano,1
essex indie,1
caucasian classical piano,1
miami hip hop,1
r&b,1
swedish indie folk,1
punjabi folk,1
punjabi hip hop,1
gangster rap,1
houston rap,1
mindfulness,1
cali rap,1
emo rap,1
burmese traditional,1
east coast hip hop,1
buffalo hip hop,1
rap kreyol,1
swedish stoner rock,1
g funk,1
teen pop,1
electronic trap,1
funk paulista,1
canadian hip hop,1
perreo,1
ninja,1
brutal death metal,1
psychedelic doom,1
psychedelic hip hop,1
technical death metal,1
palm desert scene,1
new york death metal,1
reggae fusion,1
final fantasy,1
contemporary choir,1
conscious hip hop,1
sevillanas,1
industrial metal,1
italian library music,1
neo-classical,1
finnish power metal,1
italian contemporary jazz,1
italian modern prog,1
political hip hop,1
singaporean mandopop,1
deep full on,1
musica para criancas,1
classical accordion,1
deep gothic post-punk,1
indonesian hip hop,1
shush,1
indie triste,1
nederlandse hardstyle,1
instrumental stoner rock,1
focus trance,1
sacred steel,1
cumbia funk,1
israeli classical piano,1
musique peule,1
crunk,1
folclore tucumano,1
contemporary gospel,1
israeli techno,1
pop,1
russian classical piano,1
scratch,1
scream rap,1
rumba congolaise,1
intelligent dance music,1
dark trap,1
dancehall,1
rap latina,1
sleep,1
classic latvian pop,1
chinese electropop,1
northern soul,1
spanish renaissance,1
indie psych-pop,1
dirty south rap,1
hip hop,1
indie pop rap,1
neon pop punk,1
chicha,1
chicano rap,1
chicago rap,1
dmv rap,1
moombahton,1
rawstyle,1
chicago drill,1
rap rock,1
djent,1
deep punk rock,1
detroit hip hop,1
sovietwave,1
riddim,1
polish classical piano,1
hip pop,1
sound,1
south african house,1
pittsburgh rap,1
deep underground hip hop,1
reggaeton,1
south carolina hip hop,1
christian trap,1
south carolina metal,1
southern hip hop,1
christian hip hop,1
french hip hop,1
reggaeton mexicano,1
reggaeton flow,1
retro metal,1
italian techno,1
steelpan,1
viral rap,1
turntablism,1
water,1
atl hip hop,1
white noise,1
austrian pop,1
old school rap francais,1
meme rap,1
west coast trap,1
aggrotech,1
k-rap,1
virgin islands reggae,1
nu-cumbia,1
otacore,1
gospel r&b,1
american romanticism,1
nueva ola chilena,1
vapor trap,1
ohio hip hop,1
west coast rap,1
trap venezolano,1
ambeat,1
zambian pop,1
vapor twitch,1
trap soul,1
trip hop,1
trap latino,1
asian american hip hop,1
lithuanian electronic,1
afghan traditional,1
nyc rap,1
komedi,1
ghanaian traditional,1
underground hip hop,1
turkish trap,1
lo-fi indie,1
german pop rock,1
urban contemporary,1
belgian pop,1
urbano espanol,1
orebro indie,1
argentine hip hop,1
latin hip hop,1
hardcore,1
nu disco,1
alternative hip hop,1
kawaii metal,1
berlin minimal techno,1
american post-rock,1
bhangra,1
argentine metal,1
belarusian indie,1
world meditation,1
alt-idol,1
trap chileno,1
xtra raw,1
atmosphere,1
tone,1
australian ambient,1
anime,1
braindance,1
abstract,1
ny roots,1
vienna indie,1
uk experimental electronic,1
aussietronica,1
gymcore,1
trap,1
boom bap,1
melodic rap,1
american 21st century classical,1
korean trap,1
uk post-hardcore,1
latvian pop,1
hardcore hip hop,1
battle rap,1
atlanta metal,1
toronto rap,1
baton rouge rap,1
uk stoner rock,1
uk diy punk,1
german classical piano,1
memphis hip hop,1
korean mask singer,1
ambient techno,1
gospel,1
fourth world,2
dunedin indie,2
american folk revival,2
south dakota indie,2
nova mpb,2
classic bhangra,2
christian music,2
french dnb,2
oriental classical,2
polish contemporary classical,2
christian indie,2
latin viral pop,2
nashville americana,2
rap conciencia,2
drone,2
alte,2
barockinterpreten,2
christian dance,2
christian pop,2
soda pop,2
soukous,2
drum and bass,2
irish dance,2
classic australian country,2
uk worship,2
south african country,2
french baroque,2
musica costarricense,2
circus,2
j-poprock,2
musica costena,2
gujarati pop,2
sound team,2
radio symphony,2
balearic,2
muzika l'yeladim,2
classic finnish pop,2
northern irish indie,2
danish pop rock,2
danish rock,2
ukrainian choir,2
german underground rap,2
french death metal,2
classic indo pop,2
vintage tango,2
uk metalcore,2
indie dream pop,2
sotalaulut,2
mandopop,2
dubsteppe,2
knoxville indie,2
italian violin,2
cosmic post-rock,2
krautrock,2
cyberpunk,2
cornish folk,2
contrabass,2
polyphony,2
australian indigenous,2
australian country,2
welsh indie,2
