genres,liveness
birmingham hip hop,0.0222
cumbia santafesina,0.0225
industrial hardcore,0.0239
speedcore,0.0239
reggaeton mexicano,0.0302
hiplife,0.0358
vogue,0.0381
folclore navarra,0.04
musica para criancas,0.044500000000000005
tuna estudiantil,0.0447
concepcion indie,0.0472
pianissimo,0.0506
romanian electronic,0.0517
danish hip hop,0.054000000000000006
breakcore,0.0548
hawaiian indie,0.0557
british children's music,0.0561
swedish rock-and-roll,0.0562
ukrainian pop,0.0567
chinese indie rock,0.0568
cameroonian pop,0.0587
tunisian pop,0.059000000000000004
classic tunisian pop,0.059000000000000004
kentucky metal,0.0594
new zealand classical,0.0601
modern psychedelic folk,0.06026666666666666
german indie,0.06065
punjabi hip hop,0.061
norwegian hip hop,0.0658
capoeira,0.0663
irish dance,0.0668
christian dance,0.0672
cymraeg,0.0673
north east england indie,0.0676
salsa cubana,0.0676
marathi pop,0.068
classical piano duo,0.0682
ritmo kombina,0.06953333333333334
japanese concert band,0.0704
alte,0.0705
danish punk,0.071
greek jazz,0.0713
urbano espanol,0.07165
brass quintet,0.0718
gabonese pop,0.0724
kizomba antigas,0.0724
ugandan pop,0.0724
finnish soul,0.0724
atmospheric dnb,0.0724
depressive black metal,0.0728
j-ambient,0.07295
chinese classical piano,0.07390000000000001
juju,0.07396666666666668
j-dance,0.0744
dembow,0.07467857142857143
finnish heavy metal,0.0748
experimental indie,0.0748
neurofunk,0.0749
deep dnb,0.0749
dubsteppe,0.075
south african house,0.07513333333333334
musica canaria,0.07566666666666666
baroque woodwind,0.0757
experimental big band,0.0757
afro soul,0.0764
australian choir,0.0766
sefardi,0.07675000000000001
guadalajara indie,0.07683999999999999
serbian electronic,0.0769
italo house,0.07700769230769232
partyschlager,0.07776666666666666
virgin islands reggae,0.07807499999999999
hungarian techno,0.0782
hungarian edm,0.0782
canadian classical piano,0.07842105673316704
uk dub,0.07869999999999999
neotango,0.0792
hindi hip hop,0.07925
accordeon,0.0794
electrofox,0.07951666666666664
italian jazz,0.08006666666666667
dutch rap pop,0.08022666666666667
hard minimal techno,0.08043846153846154
manchester indie,0.0807
uk house,0.0809
basshall,0.08106666666666668
deep techno,0.0811
belgian techno,0.0811
japanese vocal jazz,0.08249999999999999
nordic classical piano,0.08266785714285715
chinese jazz,0.0829
son jarocho,0.08305
cornish folk,0.0832
alaska indie,0.0832
baltimore hip hop,0.08338333333333334
portuguese early music,0.0837
kabyle,0.0837
rock gaucho,0.0838
pop rock brasileiro,0.0838
dutch dnb,0.0839
albanian pop,0.0839
italian classical guitar,0.0843
corridos cristianos,0.0844
tamaulipas rap,0.0845
jewish cantorial,0.0847
makossa,0.0847
musica para ninos,0.0847952380952381
musique pour enfant quebecois,0.0848
ambient industrial,0.0849
norwegian choir,0.085
yoik,0.085
hauntology,0.08535
italian modern prog,0.0854
flick hop,0.0856
belgian contemporary classical,0.086
dutch classical piano,0.08608333333333333
israeli classical piano,0.08612320261437909
trap venezolano,0.0863
detske pisnicky,0.0866
spanish techno,0.08662500000000001
musical advocacy,0.08687500000000001
guzheng,0.0869
belgian indie rock,0.0874
ghent indie,0.0874
afghan pop,0.0874607142857143
tucson indie,0.08756666666666668
chinese classical,0.0878
chinese soundtrack,0.0878
space ambient,0.08803333333333334
yugoslav new wave,0.0881
chinese classical performance,0.08812500000000001
esperanto,0.0883
czech contemporary classical,0.0886
stl indie,0.08873333333333333
kaneka,0.08880588235294118
monterrey indie,0.0889
muzika l'yeladim,0.08895
dark techno,0.08928999999999998
australian post-hardcore,0.0894
japanese electronic,0.08945
japanese idm,0.08945
zouk,0.08967777777777779
bristol electronic,0.0897
musique peule,0.09
turkish modern jazz,0.09
nubian traditional,0.09004999999999999
blues mexicano,0.09004999999999999
egyptian traditional,0.09004999999999999
koto,0.09008333333333332
polish modern jazz,0.0901
south african pop dance,0.0902
korean indie rock,0.0906
eastern bloc groove,0.091
rap dominicano,0.0914877551020408
slovenian metal,0.0915
women's choir,0.0915
progressive deathcore,0.0915
russian shoegaze,0.09155
new orleans indie,0.09166666666666666
lo-fi vgm,0.0917
polish reggae,0.0919
folclor colombiano,0.09206521739130434
musica andina colombiana,0.09206521739130434
pop peruano,0.09214333333333333
quartetto d'archi,0.0925
kora,0.09273333333333332
berlin minimal techno,0.09300000000000001
latvian pop,0.09313333333333333
classic latvian pop,0.09313333333333333
asbury park indie,0.0932
deep southern soul,0.0932
deep minimal techno,0.09324166666666668
fluxwork,0.0933
indonesian worship,0.0934
swedish tropical house,0.09345
newcastle indie,0.0936
afro-funk,0.09370370370370372
german house,0.09373333333333334
caucasian classical piano,0.0938
sydney indie,0.0938
ambient techno,0.0939
dutch hip hop,0.09395
lute,0.094
southern americana,0.09408
garage house,0.09412909090909093
geek folk,0.09433333333333332
swedish idol pop,0.0947
chattanooga indie,0.0949
danseband,0.0954
baltic classical,0.09545
denpa-kei,0.09565
albany ny indie,0.0957
french classical piano,0.09570139221585956
jordanian pop,0.0958
