genres,loudness
binaural,-41.825
brain waves,-41.825
korean classical piano,-37.6195
hungarian contemporary classical,-35.116
caucasian classical piano,-33.962666666666664
canadian classical piano,-33.627376610556944
white noise,-33.503037037037025
baltic classical,-33.47625
classical piano duo,-33.412
italian classical guitar,-32.626999999999995
chinese classical piano,-32.135444444444445
21st century classical,-31.514333333333337
contemporary classical piano,-30.93705357142857
balkan classical piano,-30.9315
australian ambient,-30.804000000000002
singing bowl,-30.684
nordic classical piano,-30.630607142857137
bansuri,-30.6229
boy soprano,-30.311999999999998
british classical piano,-30.118484102564093
cathedral choir,-29.629
dutch classical piano,-29.58316666666667
medieval,-29.471999999999998
american 21st century classical,-29.108
contemporary choir,-29.108
belgian classical piano,-29.0305
tzadik,-29.01133333333333
israeli classical piano,-28.91925686274509
french classical piano,-28.838929505256854
classical guitar,-28.711750055080266
russian choir,-28.49383333333334
rwandan traditional,-28.42
bible,-28.384
guitarra clasica,-28.368815665215287
chinese classical performance,-28.20997222222222
native american spiritual,-28.111
nu age,-28.006999999999998
russian classical piano,-27.77717555251249
tone,-27.762166666666666
japanese classical piano,-27.556428571428572
classical piano,-27.484670203328555
mexican classical,-27.236550000000005
classical piano trio,-27.231666666666666
classical harp,-27.16266666666667
british contemporary classical,-26.925553703703702
sound art,-26.919666666666664
italian classical piano,-26.75892
german classical piano,-26.72684930775301
historical keyboard,-26.723319999999994
american early music,-26.524500000000003
ukrainian classical piano,-26.47590972222221
hungarian classical piano,-26.3807242063492
deep soundtrack,-26.154676190476195
contemporary classical,-26.068679191104607
american contemporary classical,-25.939671039870692
australian choir,-25.875999999999998
kleine hoerspiel,-25.8739
polyphony,-25.7648
background music,-25.691812500000008
german literature,-25.69048284313725
american classical piano,-25.65141646685484
classical horn,-25.584186813186808
korean classical performance,-25.581880952380953
warm drone,-25.493000000000002
indonesian worship,-25.375999999999998
russian orchestra,-25.13115136054422
orthodox chant,-25.112
canadian choir,-25.037992857142864
musica antigua,-24.855999999999998
middle earth,-24.85322481004704
turkish classical performance,-24.7305
brazilian classical piano,-24.72012307692308
university choir,-24.715999999999998
oxford choir,-24.715999999999998
classical cello,-24.67057851321653
avant-garde,-24.66766093033509
flick hop,-24.655
african-american classical,-24.61947206703911
austrian classical piano,-24.528226190476193
classical countertenor,-24.5205
prepared piano,-24.45842857142857
minimalism,-24.260498001791053
welsh folk,-24.17925
drift,-24.10406060606061
musica de fondo,-24.096999999999998
vocal ensemble,-24.03933333333333
atmosphere,-24.01653061224491
latin american classical piano,-23.943203944230408
post-minimalism,-23.9295
spanish classical piano,-23.90525000000001
yoga,-23.888
israeli folk,-23.82533333333333
native american flute,-23.80252367424243
bulgarian experimental,-23.749666666666666
lldm,-23.725
focus,-23.717470899470914
new isolationism,-23.68051515151515
celtic harp,-23.649
early music choir,-23.563125
ukrainian classical,-23.5472328358209
lute,-23.528000000000002
baroque singing,-23.482
burmese traditional,-23.432
icelandic classical,-23.350875
chamber choir,-23.291031124048356
australian classical piano,-23.21
german renaissance,-23.162
finnish contemporary classical,-23.13812820512821
spanish renaissance,-23.11111111111111
swiss classical piano,-22.99732196969697
meditation,-22.906886774891767
chamber orchestra,-22.88768706613295
choral,-22.86638054669416
hungarian classical performance,-22.85314755397109
sitar,-22.839276881720433
theremin,-22.79069397993311
wind ensemble,-22.748
classical flute,-22.677575641025644
nz christian,-22.581999999999997
romanian classical piano,-22.542585042735038
streichquartett,-22.50731590909091
viola,-22.471809139784952
chill guitar,-22.40907729468599
japanese classical performance,-22.396766453735967
classical performance,-22.326791356122495
polish classical piano,-22.31374528619529
serialism,-22.31035
experimental guitar,-22.286777777777786
british choir,-22.23121731251205
hammered dulcimer,-22.1935
ghanaian traditional,-22.18
cambridge choir,-22.143982905982906
english renaissance,-22.1188
swedish jazz orkester,-22.013
danish jazz,-22.009796296296297
musique pour enfants,-21.929000000000002
histoire pour enfants,-21.929000000000002
indian fusion,-21.92091666666667
mindfulness,-21.91
japanese traditional,-21.87583333333333
baroque woodwind,-21.859
american orchestra,-21.826575462080264
norwegian classical,-21.815476190476193
early music ensemble,-21.768423387096767
historic piano performance,-21.755975221919442
italian renaissance,-21.709000000000003
impressionism,-21.683164660288487
danish electropop,-21.671999999999997
haitian traditional,-21.624796428571432
reading,-21.604239806229224
polish modern jazz,-21.58
british modern classical,-21.57956259431382
czech contemporary classical,-21.5795
japanese concert band,-21.568
norwegian experimental,-21.56566666666667
anglican liturgy,-21.54920202020202
spanish baroque,-21.537
nordic contemporary classical,-21.518042735042734
classical oboe,-21.46125
dutch jazz,-21.44
brass quintet,-21.430999999999997
french orchestra,-21.408722749472748
sound,-21.402310897435907
hungarian choir,-21.399375
experimental ambient,-21.36522189606436
world meditation,-21.347714285714282
sleep,-21.34642352127264
modern performance,-21.334000000000003
lullaby,-21.327812091503283
harpsichord,-21.307398431372548
native american,-21.300133032185208
czech classical piano,-21.276333333333326
hoerspiel,-21.245997198879557
spa,-21.193
modern jazz piano,-21.16034920634921
poetry,-21.089006120268625
british orchestra,-21.07767513387912
russian romanticism,-21.05248828184385
shush,-21.014
classical clarinet,-20.999323249299728
oceania soundtrack,-20.991694444444445
kora,-20.978
classical,-20.97263389850173
acousmatic,-20.96456474637681
healing,-20.92815867965368
brazilian contemporary classical,-20.916
ballet class,-20.83672132034632
beat poetry,-20.82727777777778
new zealand classical,-20.822
victorian britain,-20.803577777777775
wind quintet,-20.78272
musica prehispanica,-20.7815
early music,-20.781383427604663
hungarian folk,-20.759333333333327
magyar alternative,-20.759333333333327
ecm-style jazz,-20.752622175258654
pibroch,-20.738000000000003
deep latin alternative,-20.723000000000006
austrian orchestra,-20.683071314393835
italian jazz,-20.67333333333333
dutch folk,-20.666
water,-20.649218749999992
string quartet,-20.623144172459853
hauntology,-20.616
hangpan,-20.56033333333333
birdsong,-20.510833333333334
classical era,-20.49400236397568
dark jazz,-20.4718
german baroque,-20.460115535667885
chakra,-20.42942857142857
classical organ,-20.410004324794432
orchestral performance,-20.384319304960822
norwegian jazz,-20.38065238095237
harp,-20.315396825396824
radio symphony,-20.241996591229285
shakuhachi,-20.163416666666667
canadian experimental,-20.12978571428572
string orchestra,-20.128
czech classical,-20.12410115207373
mountain dulcimer,-20.122170824670828
orkney and shetland folk,-20.111
baroque,-20.01449143026103
chamber ensemble,-20.0105
orchestra,-19.999912246282523
quatuor a cordes,-19.9955
contrabass,-19.988854166666666
visor,-19.956333333333333
koto,-19.911333333333328
early modern classical,-19.90472150194144
australian classical,-19.9035
american choir,-19.877883885850988
piano cover,-19.85190769230769
renaissance,-19.84157692307692
calming instrumental,-19.81881560201316
modular synth,-19.817999999999998
classical contralto,-19.79882512077295
neoclassicism,-19.738232539958478
polca paraguaya,-19.726166666666668
guitarra argentina,-19.718016339869283
early avant garde,-19.63069843725211
italian baroque,-19.626027241840557
american romanticism,-19.624194055944052
compositional ambient,-19.61135415881128
post-romantic era,-19.591079590326416
kabyle,-19.576
ambient,-19.52910198007929
duduk,-19.49525
armenian folk,-19.49525
south african choral,-19.487571428571428
cornish folk,-19.486
uzbek traditional,-19.483
baroque ensemble,-19.47715497359261
asmr,-19.465666666666667
irish indie,-19.457
art song,-19.44371200510856
neo-classical,-19.43666022727273
nordic orchestra,-19.303322222222214
swedish choir,-19.2855
hindustani instrumental,-19.19976964285714
classical soprano,-19.184382980407893
free improvisation,-19.16631012691115
drone,-19.15033633129323
chinese instrumental,-19.13422222222221
taiwan hip hop,-19.116333333333333
arabic jazz,-19.114
gamelan,-19.0715
mizrahi,-19.05785714285715
swiss worship,-19.055
classical mezzo-soprano,-19.00995905522848
baroque violin,-19.000680555555558
violin,-18.99214612280048
trio cubano,-18.977999999999998
finnish classical,-18.942852941176465
sound effects,-18.883966666666666
gregorian chant,-18.87292711038961
historically informed performance,-18.86625672176245
irish classical,-18.860407407407404
concert band,-18.85909090909091
scottish jazz,-18.814
fingerstyle,-18.783863394699686
